,event_name,event_date,event_location,event_price,event_details,geolocation
139,Happy Hour at  Edge & Node's House of Web3,"Thu, February 23, 2023, 5:00 PM – 6:30 PM PST","Edge & Node House of Web3 Building 103, Montgomery Street San Francisco, CA 94129","Edge & Node House of Web3 • San Francisco, CA","Join us for a happy hour with other people passionate about building a better world!There will be drinks and lots of new and familiar faces.We are all passionate about bridging the world to web3 – so feel free to bring a plus one or two who is new or seasoned to the world of web3. We're excited to see you Thursday night!About House of Web3It all starts with human connection.The House of Web3 is especially for web3 pioneers and those who contribute knowledge, education, and code to the community at large. Through the tools and platform of decentralization, the 'House of Web3' inspires and designs solutions for the challenges we collectively face.Through interactive panels, workshops, and curated events, this handpicked collective loves to teach and to learn. We bring together influential creators of web3 including the builders, researchers, inventors, and partners who are literally the writing code of the future into the fabric of humanity.Not quite a coworking space nor an office, we are a private space based on meritocracy, representing the highest values of decentralization. While we are not an office, by-invitation, you can build and create a web3 project alongside us.About Edge & NodeEdge & Node is the core development team behind The Graph, working to build a vibrant decentralized future. The team is dedicated to the proliferation of web3 applications that share value, utilize dynamic incentives, and build for human coordination. Founded by the initial team and developers behind The Graph, the team has extensive experience in developing and maintaining open-source software, tools, and protocols as well as building and launching unstoppable applications.",POINT (37.798438 -122.460375)
140,Couples Only Night,"Multiple Dates Sat, Sep 23, 2023, 3:00 AM PST","Power Exchange 220 Jones St San Francisco, CA 94102","Power Exchange • San Francisco, CA","Couples Only Night at Power ExchangeOn every 4th Friday of the month, from 9PM to 3AM, Power Exchange opens all 3 floors to Couples and Singles in Female Attire ONLY!As a reminder, we are a pansexual sex club open to all genders and orientations. PE recognizes a couple as two people, who enter as a pair, and intend on playing together, and staying together. Members that come in to split up, or who are too aggressive with other patrons, will be asked to leave for the night. We do allow couples to be of any gender and orientation, as long as it appears they are genuinely together for the night. Please make sure you are familiar with our Rules before entering. Hope you enjoy your time with us!We ask that you dress like you are going to an upscale restaraunt or night club. Single men MUST be in a collared shirt, slacks or nice jeans and nice shoes. Sexy or fetish attire is encouraged! If you have questions about our dress code, visit our website, call, or text us!If you have any questions, visit our website at www.powerexchange.com, CALL us at 415-487-9944, or TEXT us at 415-651-3392!",POINT (37.7833969 -122.4122138)
141,Friday Nights at OMCA,"Multiple Dates Fri, Mar 3, 2023, 9:00 PM PDT","Oakland Museum of California (OMCA) 1000 Oak Street Oakland, CA 94607","Oakland Museum of California (OMCA) • Oakland, CA","Oakland's most talked-about art, music and food truck party at the Oakland Museum of California is back! Find food trucks at the corner of Oak & 10th street every week from 5-9 PM,  along with after-hours Museum access, live music, dancing, hands-on activities, programming for families and much more.",POINT (37.798338 -122.264614)
142,Figure Painting Class,"Multiple Dates Thu, Feb 23, 2023, 8:00 PM MDT","3463 San Pablo Ave 3463 San Pablo Avenue Oakland, CA 94608","3463 San Pablo Ave • Oakland, CA","Join Oni & Natty at BAMP HQ for Figure Painting and Drawing! Welcome to all skill levels, join us as we practice, sharpen and explore our artistic skills at BAMP’s monthly Figure Painting classPaint & Sip February 11thFigure Painting February 23rdFigure Drawing Schedule will proceed as followed:Doors Open						  4:30Beginners Class Start		  5:00Introduction						 5:05Doors Close						  5:15Model Pose 1-5				   5:20Model Pose 6-7				   5:30Intermission						 5:45Model Pose 8					  6:00Beginner Class Finish		 6:30IntermissionDoors Open						 6:30Advance Class Start		   7:00Introduction						7:05Doors Close						 7:15Model Pose 1-5				  7:20Model Pose 6-7				   7:30Intermission						 7:45Model Pose 8					  8:00Beginner Class Finish		 8:30",POINT (37.826038 -122.278236)
143,Burlesque Show San Francisco's #1 Variety & Cabaret Show in CA,"Multiple Dates Sat, Apr 19, 2025, 7:00 PM PST","Red Velvet Burlesque Show San Francisco 358 Ocean Ave San Francisco, CA 94112","Red Velvet Burlesque Show San Francisco • San Francisco, CA","Entertainment is the number one San Francisco  burlesque show in the San Francisco  area. With burlesque shows every week, we provide some of the most intricate and exotic burlesque and cabaret performances in the country. We offer new and exciting performances that have never been seen before. With a combination of unparalleled choreography mixed with classical burlesque dance routines, we strive to outperform any other burlesque show in the industry. If you have never been to a burlesque show, do not hesitate and contact us today to learn more about how to reserve your tickets.				Burlesque shows vary but Entertainment combines the very best in burlesque and cabaret performances to provide an experience unmatched by any other production company. We have burlesque dancers from around the world to provide new and entertaining performances. Once you visit Entertainment, you will never need to see another burlesque show in San Francisco. We offer only the best from the industry and all of our clients leave feeling satisfied.				Our San Francisco burlesque dancers engage with the audience to ensure that everybody is having a good time during the performances. Our management team goes above and beyond to coordinate all of the stunts and choreography involved in each and every show. Every show is different from week to week which is why our repeat customers always enjoy coming back. Nobody is ever bored at our burlesque shows. Whether you have never seen a burlesque show before or if you are a burlesque show veteran, we receive favorable reviews and feedback from all of our clientele. We strive to provide new and exciting experiences on a weekly basis to people of all ages.				With burlesque shows across the country, we have burlesque dancers from all over the world. We mix new and exciting talent with professional veteran burlesque dancers who have been in the industry their entire lives. As a result, we are able to provide a blend of some of the most interesting burlesque talents in the industry that no other show is able to match.				Give us a call today or explore our website to learn more. Our dancers are waiting to entertain you and our customer service team is on standby to answer any questions you may have. We look forward to hearing from you.Guests must be at least 21 years old at this location.A 2 drink minim is required per person ($22 for 2 drinks) - Cash OnlyFor more information  visit us on the web at: or give us a call at: 844-283-5838",POINT (37.729654 -122.395377)
144,Baile da Califa - SF,"Sat, Feb 25, 2023, 10:00 PM – Sun, Feb 26, 2023, 2:00 AM PST","1535 Folsom St 1535 Folsom Street San Francisco, CA 94103","1535 Folsom St • San Francisco, CA",,POINT (37.771382 -122.414343)
145,Black History Month Hike,"Sat, Feb 25, 2023, 11:11 AM PST","Sibley Staging Area 6800 Skyline Boulevard Oakland, CA 94611","Sibley Staging Area • Oakland, CA","PLEASE NOTE: This is about a 4 hour hike and we will be taking breaks along the way as needed. All skill levels are welcome. Hydrate the day before and get an adequate amount of sleep.

SUGGESTED ITEMS

Hiking shoes/comfortable shoes
Water
Healthy snacks (nuts, granola bars, fruit, etc.)
Be mindful of how heavy your bag/backpack is, you have to carry it
Mask
Whatever makes you feel good when walking
YOU ARE ENCOURAGED TO BE POSITIVE AND BRING GOOD VIBES!",POINT (37.844659 -122.196596)
146,Monkey Business Thursday - San Francisco's #1 Social Event at Barbarossa,"Multiple Dates Fri, Oct 6, 2023, 2:00 AM PDT","Barbarossa Lounge 714 Montgomery Street San Francisco, CA 94111","Barbarossa Lounge • San Francisco, CA",MONKEY BUSINESS San Francisco's Favorite Thursday Party,POINT (37.79567 -122.403263)
147,Ritmo Latino,"Fri, Feb 24, 2023, 10:00 PM – Sat, Feb 25, 2023, 2:00 AM PST","715 Harrison St 715 Harrison Street San Francisco, CA 94107","715 Harrison St • San Francisco, CA","RITMO LATINO 18+ LATIN FRIDAY NIGHT'SVIP Packages (Available in the Ticket Section):- Mezzanine VIP Booth - (Seats 6 - 8) - $399 - *Includes 4 admission tickets Platinum VIP Booth - (Seats 6 - 8) - $599 - *Includes 6 admission tickets**By purchasing ticket(s), you agree to be added to our Club X email newsletter. You can opt out at any time.Parking | Directions: We're located right off the freeway when you get over the bay bridge, just take the Harrison St. Exit and take a left onto Harrison St. There are multiple parking lots on the intersection of 3rd Street and Harrison Street. Plus, street parking is free in San Francisco after 6PM.About RITMO LATINO  is an 18+ event that takes at 715 Harrison St. in San Francisco from 10PM - 2:00AM. The venue is 15,000 square feet (a basketball court is 4,700 square feet, for reference). It contains two dance floors, along with two levels (upstairs and downstairs). Each dance floor has its own DJ, and both DJs spin REGGAETON, DEMBOW, BACHATA, CUMBIA throughout the night.",POINT (37.781899 -122.398147)
148,"Saturdays at Barbarossa Lounge.  Live DJs, Craft Cocktails & Bottle Service","Multiple Dates Sun, Mar 24, 2024, 2:00 AM PDT","Barbarossa Lounge 714 Montgomery Street San Francisco, CA 94111","Barbarossa Lounge • San Francisco, CA",,POINT (37.79567 -122.403263)
149,Mobile Museum at San Antonio Park (Oakland) 2/25,"Sat, February 25, 2023, 9:30 AM – 3:30 PM PST","San Antonio Park Field 1701 East 19th Street Oakland, CA 94606","San Antonio Park Field • Oakland, CA","Habitot's traveling ""mini museum"" of mobile exhibits plus art, STEM, and maker activities are going on the road! Our exhibits and activities are best for kids 0-5, and siblings and adults are encouraged to play, too!This event will be held at San Antonio Park in Oakland. This location has easy freeway access and is accessible from Fruitvale BART Station via  AC Transit.Habitot Children’s Museum is a non-profit organization serving a wide range of families! Our sliding scale admission of $1-$35 helps ensures access for families across socioeconomic backgrounds.Each ticket is a SINGLE FAMILY GROUP ticket and will admit any combination of  children and adults in the same household. Please register for just ONE time slot (1 hour an fifteen minute) to allow as many families as possible to attend our event.Masks must be worn by all individuals over the age of two regardless of vaccination status. For more information on all our COVID-19 protocols, please visit COVID-19 Policy for Pop-ups. Launch your handmade rocket 15ft into the sky with a hand-cranked air pressure contraption.Design, build, and decorate a rocket from recycled materials. Test how it high it launches in the new rocket launcher. Decide if your make-and-keep needs anything added to it or taken away. A fun design activity!Playing with water is a learning opportunity! Explore boats, funnels, buckets, and streams to learn about the properties of water, and just have fun!Design, build, and decorate a boat from recycled materials. Test how it floats and sails in the water table. Decide if your make-and-keep boat needs anything added to it or taken away. A fun design activity!Create art and engage in maker activities with a wide range of materials that encourage ""process"" and not ""product"" learning. STEM experiments also help children learn basic science and math concepts. Imagine an entire mural created by children on our giant paintable wall. Nontoxic washable paint. Design your very own ball run with endless combinations of tubes, gutters, and more on our giant magnetic wall! Build a fort, ball ramps, or anything you can imagine with Imagination Playground’s big foam blocks. This is a great activity for making new friends as you build together.Just for the littlest ones — a waterless pool filled with multi-colored plastic balls. Lots of giggles.Habitot's 2022 Mobile Museum Tour supported in part by City Of Berkeley, The Institute of Museum and Library Services, Chevron, and Kaiser Permanente.",POINT (37.791044 -122.240001)
150,BLACK LGBTQ FILM SCREENINGS,"Multiple Dates Sat, Feb 25, 2023, 6:30 PM PST","3207 Lakeshore Ave 3207 Lakeshore Avenue Oakland, CA 94610","3207 Lakeshore Ave • Oakland, CA","The Oakland LGBTQ Community Center is celebrating Black Queer & Trans lives through film during the month of February - Black History Month.  All screenings are free and space is limited.   For more information ,please visit  our website at www.oaklandlgbtqcenter.org",POINT (37.8092703 -122.2470874)
151,MONDAYS AT ZANZI - AfroHouse/Amapiano Oakland,"Multiple Dates Tue, Apr 25, 2023, 1:00 AM PDT","Zanzi Oakland 19 Grand Avenue Oakland, CA 94612","Zanzi Oakland • Oakland, CA","EVERY MONDAY NIGHT is Industry Night in Oakland. (Starting June 6th)Join us for #AmapianoOAK at the hottest new venue!📍 Location: @zanzioakland (top floor) - where else!?🔊 Sounds by: @k.la.v @aebldee + weekly guest djs🎶 Music: Amapiano, Afrohouse, Deep, Tribal, Tech 🕗 Time: 8pm-midnight 😱 Specials: FREE, new cocktails, dope ass music",POINT (37.8113118 -122.266287)
152,The Lowdown: Stand-Up Comedy Show,"Multiple Dates Wed, Dec 6, 2023, 9:30 PM PST","Low Bar 2300 Webster Street Oakland, CA 94612","Low Bar • Oakland, CA","Every Wednesday at 8pm, Lowdown Comedy features the very best stand-up comedians passing through the Bay Area, with a different lineup of comedians you may have seen on Conan, Comedy Central, Netflix, and The Late Late Show with James Corden, among others.Low Bar is Uptown's hottest new venue with both food and cocktail menus that proudly reflect the owners’ Mexican American backgrounds: quesabirria tacos, plenty of creative agave cocktails, and an ingenious Mexican twist on a Scotch egg. Lowdown Comedy is in Low Bar's  backroom featuring full food and drink service throughout the show.",POINT (37.811999 -122.265253)
153,Marina Comedy Nights,Multiple Dates PST ,"ESSI SF Restaurant & Wine Bar 3330 Steiner Street San Francisco, CA 94123","ESSI SF Restaurant & Wine Bar • San Francisco, CA","Watch comedians from Conan, James Corden, SF Sketchfest, Comedy Central's Clusterfest, and more!Book your tickets now because we sell out!We have a full menu of food options and some great beer and wines to choose from! Bring your date or some friends and listen to jokes you'll be talking about all week. We have a different lineup of comedians every week so you're guaranteed a new experience every time!Doors open at 7:00 PM | Show starts at 7:30 PM",POINT (37.799944 -122.437667)
154,TRIVIA NIGHT at the MILK BAR,"Multiple Dates Wed, May 31, 2023, 11:00 PM PST","Milk Bar 1840 Haight Street San Francisco, CA 94117","Milk Bar • San Francisco, CA","We're excited to announce that  EVERY Wednesday night  TRIVIA returns to the Milk Bar !Hosted by ARJUN BANERJEEwww.instagram.com/arjunbanerjesus/Along with dozens of challenging questions, laugh it up with hilarious stand up comedy in between each round. There will be prizes for enthusiastic audience members, winning teams, and people who are generally cool.Teams can be up to 2 - 6 players (Please, 2 or more per team/table)Win prizes! Laugh! and have a whole lot of funFREE with RSVP* Valid I.D. (21+ Only)",POINT (37.7695111 -122.4526159)
155,Good VBZ Volume 1 - The Jump Off  Party,"Fri, Feb 24, 2023, 10:00 PM – Sat, Feb 25, 2023, 2:00 AM PST","811 Washington St 811 Washington Street Oakland, CA 94607","811 Washington St • Oakland, CA","G﻿ood VBZ is back on 02/24 at Parliament in OaklandP﻿arliament 8﻿11 Washington StreetO﻿akland , CA 94602Featuring: DJ Nut-N-Nice and DJ Shellheart P﻿laying nothing but slaps and vibes all night! For B﻿ottle service reservations Text: (510) 730-6104 G﻿oodVBZ.com I﻿G: @goodvbzparty",POINT (37.800775 -122.275067)
156,DRAG BINGO,"Multiple Dates Wed, Dec 27, 2023, 10:00 PM PDT","The Detour 2200 Market Street San Francisco, CA 94114","The Detour • San Francisco, CA",Join us every Wednesday for some hilarious Drag Bingo shenanigans with a rotaing host of  seductive queens.  Prizes will be awarded for winners.  Stay till the end to enjoy a fabulous lip sync performance after bingo.  Don't forget to bring cash to tip your hard working host!  They didn't just wake up like that.  If you are hungry you can enjoy delicious food and beverage off our pan pacific menu.  This ticket does not guarantee you a seat.  Please arrive early.This event is a 21+ event.The Detour - San Francisco's Original Arcade Bar and Restaurant,POINT (37.7658057 -122.4314466)
157,Garage Access presents: Nikki Nair,"Sat, Feb 25, 2023, 9:00 PM – Sun, Feb 26, 2023, 2:00 AM PST","Monarch 101 6th St San Francisco, CA 94103","Monarch • San Francisco, CA","Garage Access presents: Nikki NairThis month we are proud to bring you the one and only Nikki Nair. Coming off a red hot 2022 with with over 20 releases on labels like Dirtybird, Scuffed, Pretty Weird and even Fools Gold, Nikki's production footprint has been nothing short of prolific and he's showing no signs of slowing down. After an explosive performance on Boiler Room and across many big staples of the festival circuit, Nikki has cemented himself as an in-demand artist with that is not bound by one sound or genre through dynamic and shapeshifting DJ sets. The entire Garage Access crew are all massive fans of his music and we are thrilled to bring you one of today's hottest talents.Support from Farsight (Scuffed Records) and the Garage Access crew DJs-﻿ - - -N﻿ikki Nairsoundcloud.com/nikki-nairF﻿arsightsoundcloud.com/djfarsightG﻿ARAGE ACCESS: S﻿taleysoundcloud.com/staleyw﻿ufusoundcloud.com/wufubeatsD﻿an Frandiscosoundcloud.com/dan-frandiscoN﻿ightwaresoundcloud.com/nightwarez",POINT (37.7809714 -122.4083336)
158,Human Rights Summit on California Aging Prisoners and Solitary Confinement,"Sat, February 25, 2023, 10:00 AM – 4:00 PM PST","Oakland California 4400 Market Street Oakland, CA 94608","Oakland California • Oakland, CA","Join us as human rights activists from around the world gathered to discuss the 18th century practice of solitary confinement against the backdrop of the UN Nelson Mandela Rules. The  Beyond Punishment; Human Rights Summit on Aging Prisoners and Solitary Confinement attendees will use California as a model in reviewing the various actions to end solitary confinement in the prisons; from the 2011 Pelican Bay State Prison Hunger Strike where 7,000 inmates protested in opposition to the SHU (Security Housing Unit), 2012 Ashker v. Governor of California class action lawsuit, 2013 California Prison hunger strike where 29,000 prisoners protested conditions, and most recently the California Mandela Solitary Confinement Act AB 2632 bill. Amongst this broad advocacy grassroots historical landscape to end solitary confinement and decarcerate are the inmates, family, and various coalitions over the decades in California still fighting for the relief and release of their incarcerated love ones, for some having spent nearly half a century in prison. Over two days; formerly incarcerated, lawyers, researchers, activists, students, and various agencies will brainstorm solutions and actions that build on the international human rights laws and the United Nations Standard Minimum Rules for the Treatment of Prisoners/Nelson Mandela Rules.Beyond Punishment; A Human Rights Summit on Aging Prisoners and Solitary Confinement is dedicated to the California SHU survivors and Nelson Mandela whom both entered prison in the prime of their youth spending decades in solitary confinement and still continue the fight for human rights, dignity, and the end of mass incarceration.M﻿artin Luther King and Solitary ConfinementWhat of King upon arrest? No one knew what would happen to him. His wife, at home with four small children, was frantic. King wrote about those hours in darkness in solitary confinement when he could not see or sense light:""You will never know the meaning of utter darkness until you have lain in such a dungeon, knowing that sunlight is streaming overhead and still seeing only darkness below. You might have thought I was in the grip of fantasy brought on by worry. I did worry. But there was more to the blackness than a phenomenon conjured up by a worried mind, Whatever the cause, the fact remained that I could not see the light."" (From the 1963 Letter from a Birmingham jail after being removed from solitary confinement)REFERENCES:The New Jim Crow; Mass Incarceration in the Age of Colorblindness-Michelle Alexander23/7 Pelican Bay Prison and the Rise of Long-Term Solitary Confinement-Keramet Reiter2012 Agreement to End Hostilities-SHU Short Corridor CollectiveLiving for the City; Migration, Education and the Rise of the Black Panther Party in Oakland California- Donna MurchCity of Inmates, Conquest, Rebellion, and the Rise of Human Caging in Los Angeles 1771-1965-Kelly Lytle HernandezUnbroken by Four Decades in Solitary Confinement- Albert Woodfox2009 Report- Inalienable rights: Applying human rights standards to the U.S. Justice System- American Friends Service Committee2022 Report- Nothing But Time: Elderly Americans Serving Life Without Parole-Sentencing Project2022 Report- The Cost of Solitary Confinement: Why Ending Isolation in California Can Save Money and Lives- Immigrant Defense Advocates2﻿023-A timeless work that changed history, Celebrating the anniversary of Martin Luther King Jr.’s “Letter From Birmingham Jail”-https://wng.org/opinions/a-timeless-work-that-changed-history-1673750097.SUMMIT SCHEDULE- Saturday February 25, 202310:00-10:30am- Morning SpeakersTerry Williams- Aging Prisoners  Louis Powell -Solitary Confinement  Dorsey Nunn - 13th Amendment Morning Sessions-10:40-12pmSOLITARY CONFINEMENT- I Am Advocates- Social Justice Workers Against Solitary Confinement -Attorney Kevin Heade AGING PRISONERS-Attorney Maya Garza-Terry Williams -Michael Saavedra-Ryba Bhullar/ Santa Rosa University Law School -Chitra Kulkarni / UC Hastings Law School13th AMENDMENT-Jeronimo Aguillar/ All of Us or None-Cyrus Mayer and Opium Sabbah /Oakland Jericho -Steve McCutchen & Saturu Ned /BPP Alumni Legacy Network12:00 -1PM- LUNCHEON KEYNOTE-Marie LevinAFTERNOON PANELS- Hybrid/Zoom-1-4:00pmAbolition/Movement Lawyering  Solitary Confinement/Aging Prisoners 13th Amendment panel - Dorsey Nunn/All of Us or None, Bomani Shakur /George Jackson University, Prof. McCutchen/ BPP Alumni Family of Incarcerated Community- Anita Wills, Marie Levin, Makini Conference ends at 4 PMZOOM details forthcoming-For additional information contact:cassiusglik@gmail.com.",POINT (37.8048644 -122.2946964)
159,Lake Merritt UMC Food Pantry,"Multiple Dates Sat, Aug 17, 2024, 11:00 AM PST","Lake Merritt United Methodist Church 1330 Lakeshore Ave Oakland, CA 94606","Lake Merritt United Methodist Church • Oakland, CA","We are living through unprecedented times with the COVID-19 pandemic affecting our communities. The Lake Merritt United Methodist Church (LMUMC) Food Pantry has been serving the Oakland community and Alameda County for over 35 years as a source of free food to individuals and families. The Food Pantry distributes fresh produce and nutritious shelf-stable food and protein. We continued the work of the food pantry without pause and returned to client-choice distribution.Volunteer Shifts:Distribution Set Up:  Friday before distribution at 10:00 -11:00 am.A small team of volunteers is needed to assist in setting up stations for food distribution the next day. The workspace allows for good distancing and frequent hand washing. Food Distribution: Saturdays 8:00-11 am  (Jan-Oct: 4th Saturday of the month, Nov & Dec: 3rd Saturday of the month) On Saturdays, volunteers staff 12 stations assisting with client check-in and registration, set up, food distribution, line support, and clean up. Additional projects such as preparing hygiene kits and preparing food for Lake Lunches may also take place. The workspace allows for good physical distancing in most spaces and frequent hand washing. Language Interpreters: Language interpreters are needed in the primary languages of the food pantry visitors including Cantonese, Mandarin, and Vietnamese. Please indicate if you are volunteering with a group or if you are able to serve as a language interpreter. Email liftconcertoakland@gmail.com for more information about groups and language interpreters. Food Delivery: If you are interested in supporting food deliveries, please email liftconcertoakland@gmail.comNeeds and volunteer requirements are subject to change.We serve a vulnerable population where most of our visitors are senior citizens. Due to COVID-19 spread concerns, we require proof of vaccination for all those eligible and masks to be worn at all times. Hand washing or sanitizing before, during, and after volunteering is required.Why and ImpactHunger is a serious problem in Alameda County. 1 in 5 families in the county relies on ACCFB Network Agencies for food. The Food Pantry fills an important need in the Lake Merritt and downtown area. Nearly 400 households come for food each time.  Last year, we distributed 127,910 pounds of food to these families, including 55,775 pounds of fresh produce. The ACCFB helps ensure we have fresh produce and healthy shelf-stable food. We are staffed completely by community volunteers: students of all ages from Oakland youth organizations and schools around the East Bay.How can you help:",POINT (37.7990072 -122.257864)
160,Live2Lead Oakland,"Fri, February 24, 2023, 8:00 AM – 2:00 PM PST","Oakstop 2323 Broadway Oakland, CA 94612","Oakstop • Oakland, CA","Live2Lead Oakland is a half-day, leader development experience brings together 100 of Oakland’s most impactful leaders and influencers to hear from world-renowned leadership experts, gain new perspective, make new connections and leave equipped with practical steps and tools to create a personal growth plan, equip their people, strengthen their organizations, and positively impact their local communities. A curated room of leaders and influencers join a global community to learn from world-renowned leadership experts, and local leaders.Maxwell Leadership™ is excited to partner with Dr. Lynette McElhaney, the Legacies Leadership Group, and Kevin Koo Coaching to bring this high caliber event to Oakland for the first time in its 9 year history.Making Oakland Better Starts Here This in-person event is by invitation only. Working with a diverse and engaged group of advisors, we have carefully identified hundreds of the most influential and impactful leaders. Leaders, like you, who are passionate about the Town, doing real work and hungry for change. This invitation is non-transferable. Send referrals directly to legaciesleaders@outlook.comLive2Lead Oakland is purposed to add value to your efforts in three significant ways:1.	Personal benefit to you as a leader – At Live2Lead Oakland, you will find an environment charged for personal and organizational growth. The information you receive will help you and your organization strengthen your capacity in the areas of leadership, communication, relationships, team building and strategic planning and thinking skills.2.	Strengthen Relationships and Gain New Ones. We have taken great care to create an atmosphere that encourages new connections and nurtures authentic relationships between tenured, new, and emerging leaders. This is THE room to be in if you’re working on or toward positive change in the Town. You will meet leaders in philanthropy, community, government, business, and non-profits that are actively working in the communities and on the issues that matter to you. People like the new head of the Oakland Innovations Fund, elected officials from the City of Oakland, Alameda County, OUSD and more.3.	Inspire a renewed civic commitment – leading to a New Social Contract for Oakland – one that unites rather than divides, that brings us together to truly effectuate positive social change.  This is a document or covenant that you will help craft that is our collective commitment to working together so we can truly effectuate positive change.On Friday, February 24, our day begins with a VIP breakfast featuring a panel of millennial and GenZ leaders including: Tasion Kwamilele, Isaac Kos-Read, Janani Ramachandran, Jennifer Tran, and Trevor Parham. These are young leaders in business, philanthropy and government who are deeply dedicated to making the city better and who are eager to meet and partner with organizations like yours.We then leverage content from Maxwell Leadership - one of the nation's premier organizations for personal and organizational growth. The exclusive content includes speeches by five of the country’s most sought-after speakers including: John C. Maxwell, Eric Thomas, Doris Kearns Goodwin, Tim Elmore, and Patrick Lencioni – each sharing tools to succeed in today’s challenging environment. Action planning begins with an Oakland-focused with lunch and an intimate conversation with legacy leaders:  Henry Gardner, – the longest tenured City Manager, former mayor Elihu Harris. Throughout the day, you’ll have ample networking opportunities to meet leaders from philanthropy, business, government, education, and community. Through our global training efforts, we know positive transformation is possible for any community where people learn and live good values, value people and build bridges to partner for a better tomorrow.Associate Your Brand with Values-Based, People Centered LeadershipJ﻿oin our growing list of Sponsors and UnderwritersAcross the country and in communities around the world, L2L Sponsors range from large publicly traded brands to small businesses, hospitals, universities, local government and non-profits. Join: Schnitzer Steel, KRG, and a host of non-profit and community leaders is bringing this day to life for a 100 of Oakland's leaders.Associate with America’s #1 Leadership guru. Sponsorship and premium partnership packages are available. Put your brand in front of leaders determined to grow their business and influence. Call (510 ) 394-4809 or email legaciesleaders@outlook.com for packages.A portion of the net proceeds of this first-in-class event will be donated to local arts and violence interruption organizations. About our Speakers (list in formation, check back for updates):JOHN C. MAXWELL, #1 New York Times bestselling author, identified as the #1 leader in business by the American Management Association® and the world’s most influential leadership expert by Business Insider and Inc. magazine. ERIC THOMAS, Ph.D., critically acclaimed author, world-renowned speaker, educator, pastor, and Audie Awards Finalist has taken the world by storm, with his signature creative, common-sense approach to living a successful, satisfying professional and personal life. PATRICK LENCIONI, founder and president of The Table Group, a firm dedicated to protecting human dignity in the world of work, personal development, and faith. For twenty-five years, Pat and his team have been providing organizations with ideas, products, and services that improve teamwork, clarity, and employee engagement. DR. TIM ELMORE,  author, leadership expert,  keynote Founder and CEO of Growing Leaders, a non-profit team that has trained more than 500k students & young professionals around the world to become life-giving leaders.DORIS KEARNS GOODWIN, world-renowned presidential historian, public speaker, and Pulitzer Prize- winning, #1 NYT best-selling author. HENRY GARDNER, Oakland City Manager (1981-1993),  voted top city manager in the nation, served as deputy executive director of the Association of Bay Area Governments (ABAG) from 2003-2005, and executive director from 2005-2010. Currently serves as Executive Director of the Oakland Alameda Coliseum Authority.M﻿IA BONTA, a proud Black Latina, raised by activists she has been serving California’s 18th Assembly District since 2021. Assemblymember Bonta’s priority is to make California a more affordable, inclusive, and equitable home for all. Mia holds a B.A. in Psychology from Yale University and went on to pursue an Ed.M from Harvard Graduate School of Education and a J.D. from Yale Law School.Use code EARLY to receive COMPLIMENTARY General Admission through February 13!",POINT (37.812481 -122.266273)
161,Alto Driver Hiring Open House,"Fri, Feb 24, 2023, 9:00 AM – Sun, Feb 26, 2023, 5:00 PM PST","1301 Shoreway Rd 1301 Shoreway Road Belmont, CA 94002","1301 Shoreway Rd • Belmont, CA","Are you Customer Service oriented and thoroughly enjoy driving? At Alto, our W2 employee drivers receive all the tools they need to provide a Safe, Consistent, and Elevated rideshare experience - including a comfortable, luxury-SUV, insurance, fuel, and world class training. Join us for an exciting career fair with Alto! Meet face to face with members of our team and learn about what it means to be a driver at Alto. We are hiring for both AM and PM shifts, full time and part time hours, weekday and weekend availability. Enjoy refreshments as well and bring your friends! We want to hire as many people as possible!W﻿hat to Expect:Our goal is to hire new drivers at this event, so when you come please bring with you:As far as pay...B﻿enefits of being an Alto driver include:Qualifications and Requirements:",POINT (37.524181 -122.267206)
162,Latin Tuesdays Super Salsa Class & Dance Party FREE @ Bottoms Up Club,Multiple Dates PST ,"Bottoms Up Bar & Lounge 4704 Mission Street San Francisco, CA 94112","Bottoms Up Bar & Lounge • San Francisco, CA",TUESDAYS!*NEW* Hot Latin Tuesdays dance class + dance party w/ @djgarciasf ! Free! Tips appreciated. Check in 6:30p. 7p Class w/ @rasavitalia . Dance Party after!@bottomsupsf 4704 Mission SFTix are hot so RSVP NOW: https://www.eventbrite.com/e/latin-tuesdays-super-salsa-class-dance-party-free-bottoms-up-club-tickets-526919940727,POINT (37.723005 -122.436149)
163,Reggaeton vs Dembow Mardi Gras Edition 2.25.23,"Sat, Feb 25, 2023, 10:00 PM – Sun, Feb 26, 2023, 2:00 AM PST","The Grand Nightclub 520 4th Street San Francisco, CA 94107","The Grand Nightclub • San Francisco, CA",,POINT (37.780374 -122.398986)
164,VIBE,"Multiple Dates Fri, Feb 24, 2023, 2:00 AM PDT","Parliament Event Venue 811 Washington Street Oakland, CA 94607","Parliament Event Venue • Oakland, CA",PRYME Oakland | Big Dave Presents •VIBE The R&B Party Every Thursday!•🤞🏾 Meet us at Parliament Oakland!•Soundtrack by: @djhholla •Hosted By: @plus_model_sejoya Book Your Bottle Service NOW! Call 510.730.6104•Birthday Specials • Big Groups • Performance Call Or Text 408.205.2053 For More Info!_________________________________________________________#bigdavepresents #vibe #randb #randbmoney #randbthursdays #ranbay #oaklandcalifornia #parliamentoakland #downtownoakland #ladiesnight #wrtn #koc #sexy #oaklandnightlife,POINT (37.800775 -122.275067)
